Primary_team_goal,Total_Goals,within_1s,within_1s_pct,within_2s,within_2s_pct,within_3s,within_3s_pct,within_4s,within_4s_pct,within_5s,within_5s_pct,within_6s,within_6s_pct,within_7s,within_7s_pct,within_8s,within_8s_pct,within_9s,within_9s_pct,within_10s,within_10s_pct
Air Force,55,0,0.0,0,0.0,0,0.0,2,0.03636363636363636,2,0.03636363636363636,2,0.03636363636363636,4,0.07272727272727272,5,0.09090909090909091,6,0.10909090909090909,8,0.14545454545454545
Alaska,54,0,0.0,1,0.018518518518518517,1,0.018518518518518517,3,0.05555555555555555,4,0.07407407407407407,6,0.1111111111111111,6,0.1111111111111111,6,0.1111111111111111,8,0.14814814814814814,9,0.16666666666666666
Alaska Anchorage,55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.01818181818181818,1,0.01818181818181818,2,0.03636363636363636,2,0.03636363636363636,2,0.03636363636363636
American Intl,57,0,0.0,0,0.0,0,0.0,0,0.0,1,0.017543859649122806,1,0.017543859649122806,1,0.017543859649122806,2,0.03508771929824561,2,0.03508771929824561,4,0.07017543859649122
Arizona State,90,0,0.0,0,0.0,0,0.0,0,0.0,1,0.011111111111111112,1,0.011111111111111112,1,0.011111111111111112,1,0.011111111111111112,1,0.011111111111111112,2,0.022222222222222223
Army,73,0,0.0,0,0.0,0,0.0,2,0.0273972602739726,2,0.0273972602739726,4,0.0547945205479452,4,0.0547945205479452,5,0.0684931506849315,7,0.0958904109589041,9,0.1232876712328767
Assumption,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Augustana,72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.027777777777777776,2,0.027777777777777776,2,0.027777777777777776
Bemidji State,62,0,0.0,1,0.016129032258064516,2,0.03225806451612903,2,0.03225806451612903,2,0.03225806451612903,4,0.06451612903225806,4,0.06451612903225806,5,0.08064516129032258,6,0.0967741935483871,6,0.0967741935483871
Bentley,68,0,0.0,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,1,0.014705882352941176,2,0.029411764705882353,5,0.07352941176470588,7,0.10294117647058823
Boston College,80,0,0.0,1,0.0125,1,0.0125,1,0.0125,1,0.0125,2,0.025,3,0.0375,3,0.0375,4,0.05,4,0.05
Boston University,86,0,0.0,1,0.011627906976744186,2,0.023255813953488372,3,0.03488372093023256,5,0.05813953488372093,5,0.05813953488372093,6,0.06976744186046512,7,0.08139534883720931,9,0.10465116279069768,9,0.10465116279069768
Bowling Green,63,0,0.0,1,0.015873015873015872,1,0.015873015873015872,2,0.031746031746031744,2,0.031746031746031744,2,0.031746031746031744,3,0.047619047619047616,3,0.047619047619047616,3,0.047619047619047616,5,0.07936507936507936
Brown,48,0,0.0,0,0.0,0,0.0,0,0.0,1,0.020833333333333332,1,0.020833333333333332,2,0.041666666666666664,3,0.0625,3,0.0625,4,0.08333333333333333
Canisius,70,0,0.0,0,0.0,0,0.0,2,0.02857142857142857,2,0.02857142857142857,2,0.02857142857142857,3,0.04285714285714286,3,0.04285714285714286,6,0.08571428571428572,7,0.1
Clarkson,73,0,0.0,0,0.0,0,0.0,1,0.0136986301369863,5,0.0684931506849315,5,0.0684931506849315,5,0.0684931506849315,6,0.0821917808219178,9,0.1232876712328767,11,0.1506849315068493
Colgate,80,0,0.0,1,0.0125,1,0.0125,3,0.0375,6,0.075,7,0.0875,7,0.0875,7,0.0875,7,0.0875,7,0.0875
Colorado College,64,0,0.0,1,0.015625,1,0.015625,1,0.015625,2,0.03125,2,0.03125,2,0.03125,3,0.046875,4,0.0625,5,0.078125
Connecticut,69,0,0.0,0,0.0,0,0.0,2,0.028985507246376812,2,0.028985507246376812,3,0.043478260869565216,3,0.043478260869565216,5,0.07246376811594203,7,0.10144927536231885,9,0.13043478260869565
Cornell,54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.037037037037037035,3,0.05555555555555555,5,0.09259259259259259,6,0.1111111111111111,8,0.14814814814814814
Dartmouth,67,0,0.0,0,0.0,0,0.0,2,0.029850746268656716,4,0.05970149253731343,4,0.05970149253731343,5,0.07462686567164178,5,0.07462686567164178,5,0.07462686567164178,5,0.07462686567164178
Denver,98,0,0.0,0,0.0,0,0.0,1,0.01020408163265306,3,0.030612244897959183,4,0.04081632653061224,5,0.05102040816326531,7,0.07142857142857142,8,0.08163265306122448,8,0.08163265306122448
Ferris State,63,0,0.0,0,0.0,1,0.015873015873015872,2,0.031746031746031744,2,0.031746031746031744,2,0.031746031746031744,3,0.047619047619047616,5,0.07936507936507936,5,0.07936507936507936,5,0.07936507936507936
Harvard,51,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0196078431372549,3,0.058823529411764705,3,0.058823529411764705,4,0.0784313725490196,4,0.0784313725490196,7,0.13725490196078433
Holy Cross,78,0,0.0,1,0.01282051282051282,2,0.02564102564102564,4,0.05128205128205128,5,0.0641025641025641,5,0.0641025641025641,7,0.08974358974358974,7,0.08974358974358974,8,0.10256410256410256,9,0.11538461538461539
Lake Superior,66,1,0.015151515151515152,1,0.015151515151515152,1,0.015151515151515152,2,0.030303030303030304,3,0.045454545454545456,4,0.06060606060606061,5,0.07575757575757576,6,0.09090909090909091,7,0.10606060606060606,8,0.12121212121212122
Lindenwood,47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0425531914893617,2,0.0425531914893617,2,0.0425531914893617,2,0.0425531914893617,2,0.0425531914893617
Long Island,78,0,0.0,2,0.02564102564102564,3,0.038461538461538464,3,0.038461538461538464,4,0.05128205128205128,8,0.10256410256410256,10,0.1282051282051282,11,0.14102564102564102,13,0.16666666666666666,14,0.1794871794871795
Maine,76,0,0.0,1,0.013157894736842105,1,0.013157894736842105,1,0.013157894736842105,1,0.013157894736842105,1,0.013157894736842105,2,0.02631578947368421,3,0.039473684210526314,4,0.05263157894736842,7,0.09210526315789473
Mass Lowell,66,0,0.0,0,0.0,1,0.015151515151515152,2,0.030303030303030304,2,0.030303030303030304,2,0.030303030303030304,3,0.045454545454545456,4,0.06060606060606061,6,0.09090909090909091,6,0.09090909090909091
Massachusetts,83,0,0.0,0,0.0,1,0.012048192771084338,2,0.024096385542168676,3,0.03614457831325301,5,0.060240963855421686,5,0.060240963855421686,6,0.07228915662650602,6,0.07228915662650602,8,0.0963855421686747
Mercyhurst,65,0,0.0,0,0.0,0,0.0,2,0.03076923076923077,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156
Merrimack,60,1,0.016666666666666666,1,0.016666666666666666,2,0.03333333333333333,2,0.03333333333333333,4,0.06666666666666667,4,0.06666666666666667,4,0.06666666666666667,5,0.08333333333333333,7,0.11666666666666667,7,0.11666666666666667
Miami,44,0,0.0,0,0.0,1,0.022727272727272728,1,0.022727272727272728,1,0.022727272727272728,1,0.022727272727272728,1,0.022727272727272728,2,0.045454545454545456,3,0.06818181818181818,3,0.06818181818181818
Michigan,87,0,0.0,0,0.0,2,0.022988505747126436,2,0.022988505747126436,3,0.034482758620689655,4,0.04597701149425287,5,0.05747126436781609,6,0.06896551724137931,7,0.08045977011494253,7,0.08045977011494253
Michigan State,94,0,0.0,1,0.010638297872340425,2,0.02127659574468085,5,0.05319148936170213,6,0.06382978723404255,8,0.0851063829787234,8,0.0851063829787234,11,0.11702127659574468,14,0.14893617021276595,18,0.19148936170212766
Michigan Tech,67,0,0.0,0,0.0,0,0.0,0,0.0,2,0.029850746268656716,2,0.029850746268656716,2,0.029850746268656716,3,0.04477611940298507,4,0.05970149253731343,6,0.08955223880597014
Minnesota,111,0,0.0,0,0.0,1,0.009009009009009009,1,0.009009009009009009,2,0.018018018018018018,2,0.018018018018018018,4,0.036036036036036036,7,0.06306306306306306,10,0.09009009009009009,13,0.11711711711711711
Minnesota Duluth,64,0,0.0,0,0.0,0,0.0,1,0.015625,3,0.046875,3,0.046875,3,0.046875,5,0.078125,6,0.09375,6,0.09375
Minnesota State,71,0,0.0,0,0.0,1,0.014084507042253521,1,0.014084507042253521,3,0.04225352112676056,5,0.07042253521126761,5,0.07042253521126761,6,0.08450704225352113,7,0.09859154929577464,7,0.09859154929577464
New Hampshire,69,0,0.0,1,0.014492753623188406,1,0.014492753623188406,2,0.028985507246376812,5,0.07246376811594203,5,0.07246376811594203,5,0.07246376811594203,5,0.07246376811594203,5,0.07246376811594203,5,0.07246376811594203
Niagara,84,0,0.0,0,0.0,0,0.0,0,0.0,2,0.023809523809523808,3,0.03571428571428571,4,0.047619047619047616,4,0.047619047619047616,6,0.07142857142857142,6,0.07142857142857142
North Dakota,70,0,0.0,0,0.0,1,0.014285714285714285,1,0.014285714285714285,1,0.014285714285714285,2,0.02857142857142857,3,0.04285714285714286,3,0.04285714285714286,4,0.05714285714285714,5,0.07142857142857142
Northeastern,65,0,0.0,1,0.015384615384615385,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,4,0.06153846153846154,5,0.07692307692307693,6,0.09230769230769231,6,0.09230769230769231
Northern Michigan,36,0,0.0,0,0.0,0,0.0,0,0.0,1,0.027777777777777776,1,0.027777777777777776,1,0.027777777777777776,1,0.027777777777777776,1,0.027777777777777776,1,0.027777777777777776
Notre Dame,70,0,0.0,0,0.0,1,0.014285714285714285,3,0.04285714285714286,3,0.04285714285714286,3,0.04285714285714286,4,0.05714285714285714,5,0.07142857142857142,5,0.07142857142857142,6,0.08571428571428572
Ohio State,82,0,0.0,0,0.0,1,0.012195121951219513,1,0.012195121951219513,2,0.024390243902439025,3,0.036585365853658534,5,0.06097560975609756,6,0.07317073170731707,9,0.10975609756097561,12,0.14634146341463414
Omaha,67,0,0.0,0,0.0,0,0.0,0,0.0,2,0.029850746268656716,3,0.04477611940298507,4,0.05970149253731343,4,0.05970149253731343,5,0.07462686567164178,7,0.1044776119402985
Penn State,80,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.025,3,0.0375
Princeton,44,0,0.0,0,0.0,2,0.045454545454545456,3,0.06818181818181818,3,0.06818181818181818,4,0.09090909090909091,4,0.09090909090909091,4,0.09090909090909091,5,0.11363636363636363,5,0.11363636363636363
Providence,74,0,0.0,0,0.0,1,0.013513513513513514,1,0.013513513513513514,2,0.02702702702702703,3,0.04054054054054054,3,0.04054054054054054,4,0.05405405405405406,5,0.06756756756756757,6,0.08108108108108109
Quinnipiac,83,0,0.0,0,0.0,0,0.0,1,0.012048192771084338,1,0.012048192771084338,2,0.024096385542168676,3,0.03614457831325301,4,0.04819277108433735,6,0.07228915662650602,6,0.07228915662650602
RIT,61,0,0.0,0,0.0,0,0.0,1,0.01639344262295082,1,0.01639344262295082,2,0.03278688524590164,3,0.04918032786885246,3,0.04918032786885246,3,0.04918032786885246,4,0.06557377049180328
Rensselaer,77,0,0.0,1,0.012987012987012988,1,0.012987012987012988,2,0.025974025974025976,3,0.03896103896103896,3,0.03896103896103896,6,0.07792207792207792,7,0.09090909090909091,7,0.09090909090909091,8,0.1038961038961039
Robert Morris,86,0,0.0,0,0.0,1,0.011627906976744186,4,0.046511627906976744,6,0.06976744186046512,7,0.08139534883720931,8,0.09302325581395349,9,0.10465116279069768,10,0.11627906976744186,11,0.12790697674418605
Sacred Heart,91,1,0.01098901098901099,1,0.01098901098901099,5,0.054945054945054944,6,0.06593406593406594,6,0.06593406593406594,6,0.06593406593406594,6,0.06593406593406594,8,0.08791208791208792,11,0.12087912087912088,11,0.12087912087912088
St Anselm,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
St. Cloud State,54,0,0.0,0,0.0,2,0.037037037037037035,2,0.037037037037037035,2,0.037037037037037035,3,0.05555555555555555,4,0.07407407407407407,7,0.12962962962962962,9,0.16666666666666666,9,0.16666666666666666
St. Lawrence,49,0,0.0,1,0.02040816326530612,1,0.02040816326530612,1,0.02040816326530612,2,0.04081632653061224,2,0.04081632653061224,2,0.04081632653061224,2,0.04081632653061224,3,0.061224489795918366,3,0.061224489795918366
St. Thomas,75,0,0.0,0,0.0,0,0.0,1,0.013333333333333334,2,0.02666666666666667,2,0.02666666666666667,2,0.02666666666666667,3,0.04,4,0.05333333333333334,5,0.06666666666666667
Stonehill,57,0,0.0,0,0.0,0,0.0,0,0.0,1,0.017543859649122806,2,0.03508771929824561,2,0.03508771929824561,3,0.05263157894736842,3,0.05263157894736842,5,0.08771929824561403
Union,78,0,0.0,0,0.0,0,0.0,1,0.01282051282051282,1,0.01282051282051282,2,0.02564102564102564,3,0.038461538461538464,5,0.0641025641025641,5,0.0641025641025641,5,0.0641025641025641
Vermont,73,0,0.0,0,0.0,0,0.0,1,0.0136986301369863,4,0.0547945205479452,4,0.0547945205479452,5,0.0684931506849315,5,0.0684931506849315,7,0.0958904109589041,9,0.1232876712328767
Western Michigan,80,0,0.0,0,0.0,1,0.0125,1,0.0125,3,0.0375,4,0.05,5,0.0625,5,0.0625,8,0.1,10,0.125
Wisconsin,79,0,0.0,1,0.012658227848101266,2,0.02531645569620253,3,0.0379746835443038,4,0.05063291139240506,5,0.06329113924050633,11,0.13924050632911392,11,0.13924050632911392,13,0.16455696202531644,15,0.189873417721519
Yale,47,0,0.0,0,0.0,0,0.0,1,0.02127659574468085,1,0.02127659574468085,1,0.02127659574468085,2,0.0425531914893617,3,0.06382978723404255,3,0.06382978723404255,3,0.06382978723404255
