Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
Daniel Ebrahim,Sacred Heart,9,3,12,-4,78,19,31
Daniel Hilsendager,Western Michigan,1,7,8,5,52,19,33
Daniel Laatsch,Wisconsin,2,9,11,17,51,6,40
Daniel Panetta,Colgate,13,16,29,2,95,6,36
Daniel Russell,Michigan State,13,12,25,5,102,38,38
Daniel Sambuco,Vermont,1,0,1,-2,8,12,13
Danny Ciccarello,Rensselaer,4,1,5,-7,27,6,25
Danny Dzhaniyev,Penn State,9,20,29,12,98,6,33
Danny Nelson,Notre Dame,9,14,23,5,92,32,30
Danny Pearson,Bentley,0,0,0,-1,1,4,2
Danny Weight,Colorado College,1,0,1,-2,7,0,6
Dans Locmelis,Massachusetts,7,7,14,7,52,4,30
Dante Fantauzzi,Sacred Heart,2,11,13,1,38,32,35
Darian Gotz,Minnesota-Duluth,0,6,6,-8,50,37,37
Dario Beljo,American Int'l,2,4,6,2,16,12,16
Darwin Lakoduk,American Int'l,0,0,0,-2,4,4,12
David Andreychuk,Yale,3,9,12,-10,39,14,30
David Breazeale,Maine,2,7,9,9,76,10,37
David Chen,Yale,9,9,18,-2,69,19,30
David Fessenden,Canisius,0,3,3,0,0,8,22
David Gagnon,Lindenwood,8,8,16,-8,78,25,28
David Gucciardi,Michigan State,2,6,8,8,40,47,30
David Hejduk,Harvard,0,1,1,-4,11,8,22
David Hymovitch,Arizona State,0,0,0,0,2,0,2
David Jacobs,Princeton,7,17,24,-3,82,18,30
David Melaragni,Canisius,2,11,13,2,56,16,32
David Posma,Niagara,1,2,3,-4,13,2,15
David Sacco,Merrimack,1,1,2,2,15,23,18
David Silye,Wisconsin,9,23,32,-4,97,10,40
Davis Burnside,Ohio State,9,17,26,-6,97,24,38
Davis Fry,Mercyhurst,0,0,0,-2,1,2,5
Davis Goukler,Alaska-Anchorage,1,2,3,13,30,6,24
Davis Pennington,Quinnipiac,3,21,24,23,94,14,39
Dawson Bruneski,Alaska,2,4,6,1,16,70,29
Dawson Good,Vermont,1,2,3,3,8,2,9
Dawson Tritt,Lake Superior,13,12,25,-1,80,14,38
Dean Bauchiero,Brown,1,0,1,-8,7,6,21
Dean Schwenninger,Stonehill,4,9,13,-19,47,32,34
Derek Mullahy,Harvard,0,1,1,0,0,0,17
Derek Pys,Alaska,0,1,1,1,2,17,4
Devin Kaplan,Boston University,5,18,23,9,49,34,37
Devin Phillips,Holy Cross,1,2,3,1,10,2,5
Devlin O'Brien,Merrimack,3,5,8,-6,22,24,30
Devon Carlstrom,Stonehill,0,2,2,-30,21,10,33
Dillan Bentley,Mass.-Lowell,4,8,12,-11,57,12,32
Dimitri Mikrogiannakis,RIT,2,7,9,16,53,41,40
Dom Foglia,Colgate,2,4,6,3,29,4,24
Dominic Basse,St. Cloud State,0,1,1,0,0,2,25
Dominic James,Minnesota-Duluth,0,1,1,0,6,0,2
Dominic Schimizzi,Robert Morris,2,1,3,-3,23,10,16
Dominic Vidoli,Omaha,1,1,2,3,18,6,19
Dominick Campione,Stonehill,3,3,6,-25,19,39,23
Donavan Villeneuve-Houle,Maine,9,15,24,10,88,33,36
Donte Lawson,Bemidji State,4,3,7,3,22,0,17
Doug Grimes,Boston University,2,1,3,3,20,2,23
Douglas Andersson,American Int'l,0,0,0,-3,6,6,7
Douglas Scott,RIT,0,0,0,-1,5,14,7
Dovar Tinling,Rensselaer,5,12,17,-7,51,43,34
Drake Burgin,St. Lawrence,7,13,20,-7,74,16,39
Drew Bavaro,Notre Dame,10,10,20,-4,117,38,35
Drew Cooper,Ferris State,2,3,5,-4,23,4,24
Drew Fortescue,Boston College,4,4,8,13,30,36,40
Drew Kuzma,Lindenwood,4,6,10,-7,44,43,25
Drew Montgomery,Colorado College,5,5,10,1,35,12,35
Drew Vieten,Niagara,3,1,4,7,21,21,21
Duncan Ramsay,Vermont,0,1,1,0,7,6,26
Dustin Geregach,Mercyhurst,4,14,18,-13,64,35,34
Dustin Manz R,American Int'l,7,24,31,1,87,28,39
Dustyn McFaul,Clarkson,3,0,3,-8,25,24,35
Dylan Anhorn,St. Cloud State,6,27,33,14,83,34,38
Dylan Davies,Rensselaer,0,0,0,0,3,2,3
Dylan Duke,Michigan,26,23,49,8,137,30,41
Dylan Finlay,Alaska-Anchorage,1,1,2,-8,20,4,23
Dylan Ghaemi,Stonehill,0,0,0,0,0,0,1
Dylan Gratton,Penn State,3,10,13,1,64,2,36
Dylan Herzog,Yale,0,5,5,4,22,6,28
Dylan Hryckowian,Northeastern,7,27,34,9,93,22,34
Dylan Jackson,Arizona State,7,4,11,-1,43,18,15
Dylan James,North Dakota,9,10,19,11,94,12,40
Dylan Lugris,Penn State,8,6,14,-6,67,4,36
Dylan Meilun,Stonehill,0,0,0,0,0,2,25
Dylan Moulton,Miami,6,2,8,-10,37,35,34
Dylan Peterson,Boston University,8,12,20,10,60,73,35
Dylan Robbins,Sacred Heart,0,2,2,-8,17,16,35
Dylan Wendt,Western Michigan,23,21,44,10,88,10,38
Eamon Powell,Boston College,5,33,38,19,52,8,40
Ean Somoza,Western Michigan,0,0,0,-1,11,12,10
Easton Hesse,Lake Superior,0,0,0,0,0,0,8
Easton Zueger,Army,1,2,3,-7,14,4,21
Edvard Nordlund,Mass.-Lowell,0,0,0,0,0,0,2
Edvards Bergmanis,Alaska,0,0,0,0,1,0,2
Elan Bar-Lev-Wise,Yale,1,2,3,0,21,30,28
Eli Barnett,Vermont,0,5,5,6,6,16,24
Eli Pilosof,Union,0,0,0,0,0,2,1
Eli Sebastian,Northeastern,0,1,1,-12,24,2,32
Elijah Gonsalves,RIT,20,18,38,18,106,30,36
Elliott McDermott,Massachusetts,0,2,2,1,27,14,35
Ellis Rickwood,Clarkson,4,5,9,3,26,8,22
Emerson Goode,Ferris State,7,5,12,3,75,24,32
Emmett Croteau,Clarkson,0,0,0,0,0,0,6
Eric Charpentier,Dartmouth,4,7,11,2,40,25,32
Eric Ciccolini,Clarkson,8,8,16,3,83,28,34
Eric Huss,Army,0,1,1,0,16,4,15
Eric Martin,Bemidji State,8,18,26,-5,77,6,38
Eric Parker,Bowling Green,1,8,9,-10,33,29,33
Eric Pohlkamp,Bemidji State,11,13,24,4,123,18,32
Erik Bargholtz,Clarkson,4,5,9,5,30,6,29
Erik Urbank,Canisius,4,9,13,2,52,37,34
Ethan AuCoin,St. Cloud State,4,2,6,1,23,8,19
Ethan Benz,Union,4,1,5,1,15,10,15
Ethan Bono,Merrimack,6,3,9,-2,31,8,29
Ethan Edwards,Michigan,3,7,10,13,39,20,21
Ethan Gauer,St. Thomas,0,12,12,-8,48,26,37
Ethan Haider,Connecticut,0,0,0,0,0,0,21
Ethan Harrison,Bentley,1,0,1,2,10,2,13
Ethan Langenegger,Lake Superior,0,0,0,0,0,0,33
Ethan Leyh,Bentley,13,16,29,11,94,34,35
Ethan Lund,Niagara,2,3,5,-6,27,8,33
Ethan Manderville,Colgate,9,10,19,2,52,10,36
Ethan Mistry,Brown,0,11,11,-12,45,6,30
Ethan Pearson,Princeton,0,1,1,0,0,0,15
Ethan Phillips,Western Michigan,9,14,23,14,62,12,29
Ethan Robertson,Canisius,0,0,0,0,0,0,19
Ethan Scardina,Bowling Green,6,6,12,-4,49,22,26
Ethan Straky,Colorado College,2,3,5,11,42,16,37
Ethan Szmagaj,Arizona State,3,4,7,6,45,29,37
Ethan Ullrick,Air Force,0,0,0,-3,6,15,7
Ethan Zielke,Lindenwood,7,8,15,-9,47,18,28
Evan Bushy,Lake Superior,1,14,15,7,51,18,37
Evan McIntyre,Augustana,3,8,11,-10,31,16,34
Evan Miller,RIT,0,2,2,-1,7,4,10
Evan Mitchell,St. Lawrence,0,0,0,0,0,0,1
Evan Murr,Minnesota State,6,20,26,8,79,14,37
Evan Orr,Michigan Tech,1,1,2,-1,12,2,14
Evan Stella,American Int'l,3,5,8,-3,34,37,40
Evan Szary,Army,0,1,1,0,0,0,26
Evan Werner,Colorado College,6,13,19,-1,85,10,37
Felikss Gavars,St. Lawrence,13,12,25,-9,109,14,39
Felix Trudeau,Maine,3,2,5,1,25,6,24
Filip Forn책책 Svensson,Mass.-Lowell,5,4,9,-5,66,6,35
Filip Forsmark,Merrimack,5,13,18,-10,47,25,35
Filip Wiberg,Alaska,1,0,1,0,3,4,3
Finn Brown,Rensselaer,0,1,1,-1,10,0,16
Francis Boisvert,Robert Morris,0,1,1,0,0,0,13
Frank Djurasevic,Merrimack,4,6,10,-2,72,26,35
Frank Ireland,Stonehill,9,9,18,-30,60,21,34
Frank Nazar III,Michigan,17,24,41,-7,104,18,41
Frankie Carogioiello,Miami,2,0,2,0,5,0,4
Freddie Halyk,Denver,0,1,1,0,0,0,13
Gabe Blanchard,Mass.-Lowell,0,1,1,-1,6,19,12
Gabe Carriere,Vermont,0,2,2,0,0,0,34
Gabe Perreault,Boston College,19,41,60,24,91,29,36
Gabriel Lunn,Robert Morris,1,5,6,-16,33,18,29
Gabriel Seger,Cornell,14,30,44,30,60,16,35
Garrett Brown,Denver,0,4,4,6,6,14,8
Garrett Dahm,Mercyhurst,7,21,28,2,65,23,35
Garrett Horsager,Bentley,2,9,11,12,36,12,35
Garrett Pinoniemi,Minnesota,1,2,3,-4,15,2,35
Garrett Pyke,North Dakota,3,22,25,11,63,14,39
Garrett Schifsky,Michigan,16,18,34,17,108,16,41
Garrett Sundquist,Sacred Heart,1,0,1,-3,2,2,9
Garrett Valk,Long Island,2,1,3,0,32,14,35
Gavin Abric,Army,0,0,0,0,0,0,19
Gavin Best,Michigan State,0,0,0,-2,2,0,2
Gavin Brindley,Michigan,25,28,53,17,122,28,40
Gavin Enright,Bemidji State,0,0,0,0,0,0,15
Gavin FitzPatrick,Stonehill,0,0,0,0,0,0,13
Gavin Gulash,Robert Morris,2,7,9,-7,40,35,38
Gavin McCarthy,Boston University,1,4,5,12,29,41,38
Gavin O'Connell,Michigan State,15,11,26,8,74,12,38
Gavin Puskar,Brown,0,0,0,-4,22,6,26
Gentry Shamburger,Boston College,1,1,2,-4,10,8,30
George Fegaras,Cornell,3,4,7,9,57,12,33
George Grannis,Clarkson,2,1,3,-4,23,12,30
George Krotiris,Robert Morris,6,6,12,-8,72,19,36
Gianfranco Cassaro,RIT,18,20,38,21,146,28,40
Gibson Homer,Arizona State,0,0,0,0,0,0,14
Girts Silkalns,Mass.-Lowell,0,2,2,-3,25,6,18
Gleb Veremyev,Colorado College,15,13,28,13,101,55,37
Glebs Prohorenkovs,Niagara,9,12,21,-10,66,21,39
Grady Hobbs,RIT,10,8,18,4,99,16,39
Graham Gamache,Providence,6,8,14,1,68,8,35
Grant Adams,St. Lawrence,0,0,0,0,0,0,2
Grant Ahcan,St. Cloud State,3,5,8,-1,20,15,23
Grant Anderson,Sacred Heart,0,3,3,-5,33,11,34
Grant Docter,St. Thomas,0,7,7,-3,25,8,22
Grant Hindman,Lake Superior,1,4,5,-5,44,8,36
Grant Porter,Canisius,4,3,7,-1,36,4,16
Grant Silianoff,Notre Dame,4,7,11,4,48,12,28
Grant Slukynsky,Northern Michigan,6,3,9,-3,45,6,34
Grayson Arnott,Maine,2,3,5,3,23,6,25
Grayson Constable,Long Island,9,9,18,-3,85,22,35
Grayson Dietrich,American Int'l,2,1,3,-1,19,18,19
Greg Japchen,Stonehill,3,11,14,-28,43,10,28
Greg Lapointe,St. Lawrence,6,2,8,0,52,6,25
Greg Orosz,Alaska-Anchorage,0,0,0,0,0,0,8
Griffin Jurecki,Michigan State,1,1,2,0,8,0,6
Griffin Loughran,Canisius,6,9,15,-6,52,78,21
Griffin Ludtke,Omaha,4,23,27,1,41,27,40
Griffin Ness,North Dakota,3,3,6,0,21,16,30
Guillaume Richard,Providence,3,15,18,5,67,27,35
Gunnar Thoreson,St. Lawrence,2,2,4,5,22,2,27
Gunnar VanDamme,Alaska-Anchorage,3,7,10,7,39,29,34
Gunnarwolfe Fontaine,Northeastern,8,19,27,-2,65,6,36
Gustav Blom,RIT,3,7,10,3,34,20,32
Gustav Stjernberg,Bowling Green,4,7,11,2,55,40,31
Guy Blessing,Air Force,0,0,0,0,0,0,38
Hampus Rydqvist,Miami,1,7,8,-22,59,20,36
Hank Kempf,Cornell,1,7,8,14,34,12,35
Harrison Blaisdell,New Hampshire,11,3,14,5,45,6,32
Harrison Chesney,Northeastern,0,0,0,0,0,0,1
Harrison Israels,Alaska,20,6,26,10,99,14,33
Harrison Rees,Connecticut,3,4,7,-2,47,10,36
Harrison Roy,Lake Superior,8,16,24,-17,112,8,38
Harrison Scott,Maine,15,12,27,6,102,18,37
Harry Meirowitz,Brown,0,0,0,0,1,0,1
Hayden Hennen,Augustana,4,10,14,-8,64,10,32
Heath Armstrong,Long Island,0,1,1,4,4,0,8
Henri Schreifels,Stonehill,8,8,16,-24,72,28,34
Henry Bartle,Michigan Tech,1,4,5,5,10,19,16
Henry Graham,Boston University,0,0,0,0,0,0,2
Henry Nelson,Notre Dame,0,1,1,-2,39,42,31
Henry Wagner,Yale,1,3,4,-5,34,10,30
Henry Welsch,Mass.-Lowell,0,0,0,0,0,0,22
Henry Wilder,Colorado College,0,0,0,0,0,0,3
Hobie Hedquist,North Dakota,0,0,0,0,0,0,7
Holden Doell,Ferris State,1,3,4,-6,27,12,24
Holt Oliphant,Air Force,10,4,14,-6,55,10,38
Hoyt Stanley,Cornell,2,8,10,16,37,22,35
Hudson Lambert,Canisius,1,2,3,-5,20,6,13
Hudson Malinoski,Providence,9,9,18,4,79,29,35
Hudson Schandor,Connecticut,5,16,21,9,66,31,34
Hugh Larkin,Western Michigan,5,4,9,-5,40,34,37
Hugo Ollas,Merrimack,0,0,0,0,0,2,22
Hunter Andrew,Canisius,0,0,0,-8,8,4,16
Hunter Bischoff,Augustana,4,4,8,-5,41,2,26
Hunter Hastings,Stonehill,0,0,0,-21,27,16,32
Hunter Johannes,North Dakota,12,7,19,10,91,29,31
Hunter Jones,American Int'l,0,4,4,1,14,4,14
Hunter Longhi,American Int'l,1,2,3,1,19,0,8
Hunter McCoy,Army,1,4,5,2,29,8,25
Hunter McDonald,Northeastern,1,5,6,3,46,32,23
Hunter Sansbury,Sacred Heart,5,10,15,-16,75,37,36
Hunter Strand,Notre Dame,4,15,19,1,65,2,36
Hunter Weiss,Notre Dame,0,0,0,-1,0,0,1
Huston Karpman,Connecticut,0,0,0,-1,0,0,1
Ian Carpentier,Yale,8,6,14,-5,63,8,26
Ian Devlin,Princeton,0,1,1,0,6,8,12
Ian Moore,Harvard,3,5,8,-6,38,10,21
Ian Murphy,Princeton,11,12,23,1,58,10,25
Ian Pierce,Dartmouth,2,9,11,2,51,8,21
Ian Shane,Cornell,0,0,0,0,0,0,34
Iisai Pesonen,Yale,5,1,6,-11,19,24,30
Iivari Rasanen,Quinnipiac,4,7,11,25,66,16,39
Isaac Gordon,Michigan Tech,18,18,36,8,108,4,40
Isaac Howard,Michigan State,8,28,36,3,111,10,36
Isac Jonsson,Mass.-Lowell,3,9,12,-15,62,2,36
Isack Bandu,Northern Michigan,1,4,5,0,25,45,26
Isaiah Fox,Long Island,13,20,33,4,75,66,35
Isak Posch,St. Cloud State,0,0,0,0,0,0,14
Isak Walther,Vermont,5,7,12,10,36,6,24
Ivan Zivlak,Merrimack,1,2,3,-13,23,4,24
J.D. Metz,St. Thomas,2,2,4,0,16,0,24
J.P. Turner,New Hampshire,4,6,10,1,37,21,24
Jack Agnew,Rensselaer,2,5,7,-10,32,16,37
Jack Anderson,Lindenwood,1,4,5,-14,26,40,28
Jack Babbage,New Hampshire,1,4,5,5,19,0,15
Jack Bar,Harvard,1,5,6,-9,29,12,27
Jack Blake,Bowling Green,0,1,1,-4,13,4,23
Jack Blanchett,Lake Superior,2,2,4,2,15,8,12
Jack Brackett,Rensselaer,1,8,9,-2,35,4,33
Jack Budd,Canisius,2,2,4,-5,16,6,15
Jack Clement,Miami,1,7,8,-13,40,10,36
Jack Collins,Mass.-Lowell,3,2,5,-3,25,4,20
Jack Cronin,Princeton,11,8,19,-11,64,8,26
Jack Devine,Denver,27,29,56,29,142,20,44
Jack Harvey,Boston University,7,8,15,14,50,4,20
Jack Horbach,Wisconsin,6,8,14,15,47,26,38
Jack Hughes,Boston University,7,12,19,10,65,12,38
Jack Jensen,Augustana,4,4,8,-4,30,23,15
Jack Judson,Clarkson,0,7,7,3,35,57,35
Jack Lyons,Canisius,1,1,2,-5,24,10,26
Jack Malinski,Vermont,2,4,6,3,33,16,26
Jack Malone,Boston College,12,13,25,7,73,12,41
Jack Mesic,Ferris State,2,8,10,0,67,8,36
Jack Millar,Colorado College,4,8,12,-1,60,24,37
Jack Musa,Massachusetts,12,17,29,9,76,6,37
Jack O'Brien,Cornell,0,0,0,4,5,0,9
Jack O'Leary,Cornell,7,8,15,15,43,12,35
Jack Pascucci,Connecticut,0,0,0,-8,15,6,24
Jack Peart,St. Cloud State,3,11,14,-4,65,18,38
Jack Perbix,Northern Michigan,1,3,4,-8,34,35,31
Jack Powell,Bemidji State,0,0,0,1,0,0,4
Jack Quinn,Long Island,2,6,8,5,32,31,32
Jack Randl,Omaha,13,13,26,5,106,10,39
Jack Reimann,St. Cloud State,1,2,3,-5,36,12,25
Jack Richard,Niagara,10,11,21,-5,53,33,34
Jack Ricketts,Holy Cross,19,16,35,18,127,78,39
Jack Robilotti,Holy Cross,3,6,9,11,33,35,35
Jack Rogers,St. Cloud State,4,2,6,-4,25,22,29
Jack Seymour,Holy Cross,5,10,15,5,49,25,37
Jack Shemligian,Stonehill,0,0,0,-5,1,2,4
Jack Smith,Minnesota-Duluth,3,9,12,0,29,12,34
Jack Stark,Yale,0,0,0,0,0,0,21
Jack Stockfish,Holy Cross,9,16,25,2,70,10,32
Jack Watson,Rensselaer,0,0,0,0,0,0,23
Jack Williams,Northeastern,17,19,36,0,86,8,34
Jack Williams,Notre Dame,0,0,0,0,0,0,1
Jack Works,Michigan Tech,10,10,20,2,108,17,35
Jackson Blake,North Dakota,22,38,60,13,129,26,40
Jackson Decker,Canisius,7,10,17,-2,67,28,35
Jackson Dorrington,Northeastern,6,6,12,15,49,6,33
Jackson Hallum,Michigan,3,5,8,6,16,0,9
Jackson Irving,Massachusetts,0,0,0,0,0,0,1
Jackson Jutting,Bemidji State,10,12,22,12,56,2,27
Jackson Kunz,North Dakota,9,10,19,6,45,4,37
Jackson Munro,Brown,2,4,6,-13,20,10,18
Jackson Niedermayer,Arizona State,9,4,13,13,62,10,33
Jackson Nieuwendyk,Canisius,2,5,7,0,33,16,34
Jackson Reineke,Robert Morris,9,12,21,-5,71,43,37
Jacob Badal,Ferris State,0,0,0,-3,3,0,5
Jacob Bauer,Western Michigan,0,4,4,0,20,8,27
Jacob Bengtsson,Boston College,3,11,14,21,29,18,40
Jacob Dirks,Ferris State,3,4,7,-3,29,2,27
Jacob Fowler,Boston College,0,2,2,0,0,0,39
Jacob Guevin,Omaha,3,10,13,-9,61,20,40
Jacob Jeannette,Union,0,7,7,4,28,37,33
Jacob Marti,Air Force,1,1,2,-3,9,21,15
Jacob Napier,Western Michigan,0,1,1,0,2,2,6
Jacob Quillan,Quinnipiac,17,29,46,16,116,16,39
Jacob Slipec,Omaha,2,2,4,1,17,6,30
Jacob Truscott,Michigan,2,14,16,5,62,41,41
Jacques Bouquot,Penn State,12,15,27,-7,79,22,34
Jaden Grant,Bowling Green,3,11,14,-4,43,14,36
Jaeden Mercier,Lindenwood,3,8,11,-12,39,6,28
Jaedon Leslie,Niagara,0,1,1,-7,21,8,14
Jaiden Moriello,Mass.-Lowell,0,5,5,-1,18,6,16
Jak Vaarwerk,Mass.-Lowell,5,10,15,-1,49,28,36
Jake Barczewski,Michigan,0,1,1,0,0,0,37
Jake Beaune,Mercyhurst,2,6,8,4,46,33,35
Jake Black,Connecticut,2,2,4,-2,31,2,24
Jake Boltmann,Notre Dame,0,2,2,-2,32,22,30
Jake Bongo,Sacred Heart,3,7,10,2,52,4,36
Jake Braccini,St. Thomas,4,5,9,-8,53,8,24
Jake Cady,Stonehill,3,3,6,-22,25,25,24
Jake Dunlap,Ohio State,3,5,8,-8,54,40,33
Jake Felker,Army,0,0,0,-7,11,19,14
Jake Flynn,Connecticut,1,5,6,-5,53,10,33
Jake Gagnon,Rensselaer,8,6,14,-10,60,8,30
Jake Hewitt,Army,7,10,17,-5,56,6,35
Jake Higgins,Holy Cross,5,4,9,2,53,17,31
Jake Kraft,Cornell,4,9,13,6,47,2,34
Jake LaRusso,Stonehill,3,2,5,-26,22,10,18
Jake Lammens,St. Lawrence,0,1,1,-5,1,4,7
Jake Livanavage,North Dakota,5,24,29,5,56,6,40
Jake Martin,Quinnipiac,0,1,1,3,7,0,25
Jake McLean,Bemidji State,6,4,10,1,24,2,38
Jake Percival,Connecticut,7,7,14,5,62,18,36
Jake Ratzlaff,St. Thomas,0,1,1,-3,12,2,14
Jake Richard,Connecticut,7,11,18,1,62,6,36
Jake Sacratini,American Int'l,0,0,0,0,0,0,2
Jake Schmaltz,North Dakota,1,10,11,3,49,13,36
Jake Schneider,Colgate,9,9,18,8,77,12,35
Jake Sibell,St. Thomas,0,1,1,0,0,0,15
Jake Southgate,Lindenwood,7,9,16,-3,44,6,28
Jake Stella,Mass.-Lowell,3,6,9,-15,36,12,29
Jake Veilleux,Connecticut,0,0,0,0,1,0,11
Jakob Hellsten,New Hampshire,0,0,0,0,0,0,28
Jakob Lee,Rensselaer,7,4,11,-3,57,41,23
Jakob Peterson,Northern Michigan,0,1,1,-3,15,2,18
Jakob Stender,Minnesota State,0,4,4,1,14,4,27
Jakub Lewandowski,Bemidji State,1,1,2,-3,7,4,9
James Callahan,Air Force,0,0,0,0,0,0,2
James Crossman,Michigan State,0,0,0,0,4,0,5
James Gray,St. Cloud State,0,0,0,0,0,0,1
James Marooney,St. Thomas,0,5,5,5,29,6,15
Jamie Armstrong,Boston College,5,7,12,4,34,17,32
Jamie Engelbert,Providence,7,4,11,3,44,16,28
Jan Korec,Boston College,0,0,0,0,0,0,4
Jan Lasak,St. Lawrence,6,7,13,-3,48,2,35
Jan Olenginski,St. Lawrence,3,2,5,-3,30,8,23
Jared Westcott,Lake Superior,18,18,36,7,101,51,38
Jared Whale,Alaska-Anchorage,0,0,0,0,0,0,25
Jared Wright,Denver,15,10,25,5,73,8,44
Jarod Crespo,Penn State,3,5,8,-9,45,24,35
Jaroslav Chmelar,Providence,5,10,15,7,53,29,26
Jarred White,Alaska-Anchorage,0,6,6,2,34,12,24
Jarrett Fiske,Niagara,0,3,3,0,0,0,29
Jaryd Sych,Mercyhurst,0,0,0,-1,3,0,3
Jase Sofo,St. Thomas,1,0,1,-2,12,14,18
Jason Brancheau,Ferris State,9,7,16,-9,60,16,35
Jason Grande,Holy Cross,0,0,0,0,0,0,22
Jason Siedem,New Hampshire,1,0,1,-2,3,0,8
Jasper Lester,Air Force,0,0,0,1,4,0,2
Jaxon Nelson,Minnesota,19,12,31,14,106,6,39
Jaxson Ezman,Princeton,4,3,7,2,31,4,15
Jay Ahearn,Niagara,10,16,26,-6,101,26,34
Jayden Davis,Notre Dame,2,1,3,-2,12,19,21
Jayden Lee,Quinnipiac,3,23,26,20,66,8,39
Jayden Perron,North Dakota,11,7,18,-1,98,8,39
Jayden Sison,Princeton,0,4,4,-5,25,19,30
Jed Pietila,Michigan Tech,2,12,14,7,51,26,40
Jeff Hutchinson,Augustana,0,1,1,0,16,6,21
Jens Richards,Vermont,10,11,21,3,90,10,32
Jeppe Urup,Northern Michigan,0,0,0,-3,3,2,8
Jere Vaisanen,Bemidji State,9,8,17,2,72,4,37
Jeremie Bucheler,Vermont,6,12,18,-3,57,27,33
Jeremie Payant,Rensselaer,2,2,4,-1,22,10,19
Jeremy Davidson,Michigan State,12,10,22,9,66,28,38
Jeremy Forman,New Hampshire,0,0,0,0,0,0,1
Jeremy Gervais,Lake Superior,0,0,0,-1,2,0,2
Jeremy Wilmer,Boston University,6,30,36,16,45,19,38
Jesse Lansdell,Omaha,3,12,15,1,36,74,39
Jesse Tucker,Clarkson,4,10,14,4,30,28,34
Jimmy Clark,Minnesota,5,6,11,5,59,4,39
"Jimmy Dowd, Jr.",Penn State,2,11,13,-1,54,26,28
Jimmy Doyle,Bentley,0,5,5,-5,45,16,25
Jimmy Glynn,Omaha,9,6,15,-11,43,14,39
Jimmy Goffredo,Rensselaer,3,3,6,-2,34,19,22
Jimmy Snuggerud,Minnesota,21,13,34,3,182,42,39
JoJo Tanaka-Campbell,Yale,1,1,2,-4,6,2,11
Joaquim Lemay,Omaha,5,13,18,-3,66,18,37
Joe Berg,Princeton,2,2,4,-13,18,6,30
Joe Cassetti,Western Michigan,8,9,17,-2,79,8,38
Joe Dunlap,Ohio State,3,5,8,2,24,25,13
Joe Miller,Harvard,13,14,27,-5,67,8,32
Joe Molenaar,St. Cloud State,8,4,12,4,69,19,32
Joe Palodichuk,Wisconsin,3,15,18,13,64,25,40
Joe Prouty,Lindenwood,0,6,6,-14,34,75,28
Joe Sharib,Union,0,0,0,0,0,0,4
Joe Solimine,Holy Cross,3,3,6,1,21,26,32
Joel Maatta,Vermont,4,5,9,-6,31,35,26
Joey Baez,Army,15,16,31,-10,92,14,32
Joey Dosan,Army,0,0,0,-1,1,0,2
