Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
Joey Lamoreaux,Alaska-Anchorage,0,2,2,0,0,2,9
Joey Larson,Michigan State,16,16,32,6,131,8,38
Joey Muldowney,Connecticut,5,9,14,-7,74,12,35
Joey Musa,Dartmouth,6,11,17,0,58,18,32
Joey Pierce,Minnesota-Duluth,0,5,5,-1,39,12,35
Joey Potter,Union,0,3,3,-1,28,4,21
John Beaton,Rensselaer,4,8,12,-22,39,2,32
John Dalton,Maine,0,0,0,-2,2,0,8
John Driscoll,Army,5,16,21,-18,52,16,35
John Evans,Rensselaer,4,6,10,-3,16,2,16
John Fusco,Dartmouth,7,10,17,-6,69,19,32
John Gelatt,Holy Cross,6,7,13,-7,70,20,38
John Gormley,Long Island,1,3,4,7,31,61,35
John Herrington,Lake Superior,9,11,20,-5,88,12,37
John Jaworski,Sacred Heart,10,16,26,-8,86,14,35
John Larkin,Ohio State,1,0,1,2,5,2,3
John Lundy,American Int'l,14,8,22,9,54,25,26
John Mittelstadt,Minnesota,1,1,2,0,23,6,33
John Prokop,Union,8,27,35,-8,73,43,36
John Spetz,Connecticut,2,4,6,-12,51,18,36
John Waldron,Miami,9,13,22,-15,88,6,36
Johnny Wescoe,Niagara,4,1,5,-3,21,6,19
Jon Bell,Army,0,0,0,-4,15,15,18
Jon Mor,Michigan State,0,0,0,0,0,0,1
Jonathan Bendorf,Bentley,3,3,6,-6,39,14,26
Jonathan Castagna,Cornell,11,14,25,20,60,25,35
Jonathan Horn,Mass.-Lowell,0,1,1,-1,0,0,5
Jonathan Ziskie,Niagara,2,6,8,-1,27,2,27
Jonny Sorenson,Alaska,8,7,15,2,68,33,33
Jordan Biro,American Int'l,7,16,23,1,82,4,39
Jordan Di Cicco,Long Island,2,5,7,-3,28,4,31
Jordan Power,Minnesota State,1,6,7,1,24,26,31
Jordan Steinmetz,Minnesota State,2,9,11,1,30,10,32
Jordan Tonelli,Brown,3,4,7,-9,36,8,16
Jordan Venegoni,Lake Superior,0,1,1,-3,18,8,18
Josef Mysak,Niagara,2,10,12,-6,48,28,37
Joseph Grainda,Stonehill,3,4,7,-15,25,10,21
Joseph Messina,Union,1,3,4,4,16,10,22
Josh Barnes,American Int'l,3,2,5,-7,39,2,22
Josh Bohlin,Army,0,0,0,-1,1,2,1
Josh Boyer,St. Lawrence,3,6,9,-5,49,23,37
Josh Eernisse,Michigan,8,6,14,-5,85,45,41
Josh Groll,Minnesota State,7,13,20,1,69,15,34
Josh Kotai,Augustana,0,0,0,0,0,0,13
Josh Latta,Bentley,2,8,10,-2,27,25,28
Josh Luedtke,St. Cloud State,4,13,17,2,62,21,37
Josh Nadeau,Maine,18,27,45,14,110,12,37
Josh Niedermayer,Arizona State,0,4,4,1,11,2,19
Josh Nixon,Union,9,18,27,-6,70,33,36
Josh Nodler,Bowling Green,5,10,15,-22,73,8,36
Josh Orrico,Michigan,0,0,0,0,1,2,7
Josh Phillips,Union,0,0,0,0,2,2,2
Josh Waters,Dartmouth,0,1,1,-4,14,16,24
Josh Zary,Long Island,19,13,32,6,82,17,33
Josh Zinger,Northern Michigan,3,17,20,-11,58,20,34
Joshua Karnish,Princeton,3,1,4,-13,30,28,27
Joshua Wildauer,Lake Superior,0,5,5,-3,10,4,15
Jude Brower,Army,0,4,4,-2,19,7,15
Julius Janhonen,American Int'l,5,19,24,-2,81,27,40
Justen Close,Minnesota,0,4,4,0,0,0,38
Justin Barker,Stonehill,4,3,7,-13,50,10,23
Justin Hryckowian,Northeastern,13,30,43,24,87,8,32
Justin Janicke,Notre Dame,4,12,16,-2,59,47,36
Justin Paul,St. Lawrence,7,12,19,-14,85,10,37
Justin Robbins,Sacred Heart,0,0,0,0,0,0,17
Kabore Dunn,Lindenwood,0,11,11,-6,21,20,22
Kade Nielsen,Minnesota State,0,0,0,-4,10,0,8
Kade Peterson,Long Island,0,0,0,-2,7,4,9
Kaden Bohlsen,Minnesota State,11,10,21,6,68,52,37
Kaelan Taylor,Clarkson,1,5,6,2,27,28,34
Kai Daniells,Princeton,8,11,19,-11,78,14,30
Kaidan Mbereko,Colorado College,0,0,0,0,0,0,37
Kaleb Ergang,Ferris State,6,9,15,-8,51,10,34
Kaleb Johnson,North Dakota,0,0,0,0,0,0,1
Kaleb Tiessen,St. Cloud State,0,0,0,1,3,0,6
Kalen Szeto,Yale,2,2,4,-9,39,23,27
Karl Falk,St. Cloud State,0,2,2,-7,31,6,33
Karsen Dorwart,Michigan State,15,19,34,8,116,28,38
Karter McNarland,Alaska-Anchorage,3,5,8,3,21,6,16
Kash Rasmussen,Michigan Tech,3,9,12,4,52,9,35
Kasper Magnussen,Bemidji State,7,4,11,3,45,6,29
Kasper Vaharautio,Michigan Tech,0,2,2,5,31,12,37
Kayden Hargraves,Augustana,0,0,0,0,0,0,9
Keanan Stewart,Mercyhurst,10,5,15,-6,53,10,31
Keaton Pehrson,North Dakota,0,8,8,5,25,10,35
Keegan Langefels,Canisius,0,0,0,-4,4,2,7
Keenan Rancier,Minnesota State,0,0,0,0,0,0,12
Kellan Hjartarson,Bentley,8,9,17,7,77,16,34
Kennedy O'Connor,Massachusetts,0,0,0,0,0,0,1
Kenny Connors,Massachusetts,7,15,22,-2,77,14,37
Kent Anderson,Denver,3,4,7,11,24,12,41
Kevin Anderson,Princeton,1,0,1,-5,9,4,17
Kevin Lombardi,Sacred Heart,11,14,25,-10,102,19,36
Kevin Marx Noren,Northern Michigan,4,13,17,-2,73,14,30
Kevin Scott,RIT,0,3,3,3,23,19,29
Kienan Draper,Michigan,4,8,12,4,35,24,37
Kieran Cebrian,Denver,3,10,13,12,39,14,36
Kieran O'Hearn,Yale,0,1,1,-10,16,36,29
Kieran Ruscheinski,Lindenwood,1,3,4,2,7,15,17
Killian Kiecker-Olson,Canisius,2,3,5,-6,27,15,21
Kirby Proctor,Omaha,7,8,15,8,41,8,40
Kirklan Irey,Bemidji State,8,7,15,4,60,22,37
Klavs Veinbergs,Colorado College,4,6,10,0,28,10,19
Kolby Amici,Bentley,2,0,2,-2,11,6,14
Kristaps Skrastins,New Hampshire,5,7,12,3,67,4,35
Kristof Papp,Northern Michigan,6,13,19,-3,63,6,34
Kristoffer Eberly,Ohio State,0,0,0,0,0,0,14
Kyle Aucoin,Harvard,0,1,1,-4,7,6,8
Kyle Bettens,Minnesota-Duluth,6,12,18,1,41,14,36
Kyle Chauvette,Union,0,0,0,0,0,0,36
Kyle Gaffney,Alaska,2,8,10,1,57,16,34
Kyle Haskins,Canisius,4,11,15,-6,85,10,35
Kyle Heath,Stonehill,1,6,7,-28,23,8,33
Kyle Jeffers,Lindenwood,9,8,17,-6,42,4,26
Kyle Kukkonen,Michigan Tech,1,11,12,-4,71,18,27
Kyle Looft,Bemidji State,6,22,28,17,69,14,32
Kyle McClellan,Wisconsin,0,0,0,0,0,0,37
Kyle Penney,Cornell,10,18,28,30,66,18,35
Kyle Smolen,Arizona State,7,9,16,3,33,59,36
Kyler Head,Mercyhurst,6,9,15,-14,49,36,30
Kyler Kleven,Minnesota-Duluth,1,2,3,0,11,13,25
Kyler Kovich,Cornell,0,1,1,1,7,2,7
Kyler Kupka,St. Cloud State,14,18,32,8,79,18,38
Lachlan Getz,Michigan Tech,1,2,3,-3,30,8,28
Landon Slaggert,Notre Dame,20,11,31,8,92,10,36
Lane Brockhoff,Niagara,2,6,8,2,49,54,37
Lane Hutson,Boston University,15,34,49,14,109,24,38
Lars Rodne,Niagara,8,12,20,-9,74,4,34
Lassi Lehti,Alaska,0,0,0,0,0,0,7
Lauri Raiman,Michigan Tech,2,2,4,-13,40,4,32
Lauri Sertti,Rensselaer,2,6,8,-16,36,16,36
Lawton Zacher,Brown,0,1,1,0,0,0,26
Lee Chiang,Robert Morris,0,0,0,-1,5,0,3
Levi Glasman,Colgate,1,5,6,0,26,6,33
Levi Stauber,Michigan Tech,1,1,2,1,14,4,20
Liam Dennison,Merrimack,2,7,9,-6,26,10,35
Liam Devlin,New Hampshire,13,7,20,6,67,37,28
Liam Engstrom,Bemidji State,3,2,5,-2,26,4,17
Liam Gorman,Massachusetts,1,3,4,2,29,17,28
Liam Izyk,Sacred Heart,4,4,8,-4,36,33,34
Liam Lesakowski,Maine,0,2,2,0,29,36,34
Liam Malmquist,St. Thomas,10,17,27,-7,91,10,36
Liam McLinskey,Holy Cross,19,28,47,23,113,32,39
Liam Robertson,Union,10,13,23,-6,39,20,34
Liam Souliere,Penn State,0,0,0,0,0,0,28
Liam Valente,Providence,4,5,9,2,47,10,29
Liam Walsh,Northeastern,4,3,7,-13,34,28,36
Linden Alger,Massachusetts,2,2,4,5,32,4,35
Lleyton Roed,Bemidji State,14,16,30,4,101,16,38
Logan Acheson,Bemidji State,2,2,4,0,23,4,28
Logan Britt,North Dakota,7,7,14,13,46,10,40
Logan Ganie,Robert Morris,6,9,15,-13,66,6,35
Logan Jenuwine,American Int'l,1,6,7,-10,44,12,23
Logan Neaton,Miami,0,0,0,0,0,2,23
Logan Pietila,Michigan Tech,13,16,29,-2,108,4,40
Logan Ritchie,St. Lawrence,1,3,4,-13,33,4,28
Logan Stein,Ferris State,0,0,0,0,0,0,21
Logan Terness,Ohio State,0,0,0,0,0,0,27
Logan Will,Colorado College,7,11,18,6,86,12,37
Louis Jamernik V,North Dakota,8,9,17,3,60,18,40
Luc Laylin,St. Thomas,9,6,15,-11,76,6,37
Luc Salem,St. Lawrence,3,5,8,-8,76,30,38
Luc Wilson,Minnesota State,7,12,19,-2,75,14,36
Luca Di Pasquo,Michigan State,0,0,0,0,0,0,4
Luca Fantilli,Michigan,1,7,8,12,20,8,38
Luca M체nzenberger,Vermont,1,2,3,2,29,51,32
Lucas Coon,Air Force,3,2,5,2,13,2,11
Lucas Jones,Vermont,0,0,0,-2,0,17,6
Lucas Kanta,Army,1,2,3,-4,42,8,28
Lucas Matta,Rensselaer,1,1,2,-12,13,12,32
Lucas Mercuri,Massachusetts,9,16,25,1,58,29,37
Lucas Olvestad,Denver,0,6,6,8,17,14,32
Lucas Sowder,Minnesota State,13,15,28,1,72,16,33
Lucas Thorne,Holy Cross,2,6,8,-2,27,20,33
Lucas Vanroboys,Massachusetts,3,5,8,4,38,22,29
Lucas Wahlin,St. Thomas,12,18,30,4,134,48,37
Ludvig Persson,North Dakota,0,3,3,0,0,0,34
Luigi Benincasa,Ferris State,6,16,22,1,64,6,33
Luis Lindner,New Hampshire,0,10,10,3,42,2,36
Lukas Gustafsson,Boston College,3,13,16,17,67,22,41
Lukas Sillinger,Arizona State,11,37,48,1,90,10,38
Luke Antonacci,Maine,0,5,5,16,28,10,37
Luke Bast,Minnesota-Duluth,2,7,9,2,45,39,37
Luke Devlin,Cornell,6,2,8,1,29,12,28
Luke Erickson,St. Lawrence,0,0,0,-4,6,10,14
Luke Farthing,Canisius,0,4,4,2,20,6,15
Luke Grainger,Western Michigan,14,34,48,10,76,21,38
Luke Haymes,Dartmouth,18,18,36,2,84,12,31
Luke Johnson,Minnesota-Duluth,1,2,3,-3,13,12,26
Luke Johnson,Robert Morris,2,11,13,-22,41,10,39
Luke Khozozian,Harvard,0,0,0,-1,5,19,12
Luke Krys,Providence,6,11,17,2,92,16,35
Luke LaMaster,Wisconsin,0,0,0,0,0,0,1
Luke Levandowski,Lake Superior,2,6,8,5,34,4,29
Luke Loheit,Minnesota-Duluth,10,10,20,-8,64,53,36
Luke Lush,RIT,0,0,0,0,0,0,4
Luke Manning,St. Thomas,7,6,13,-4,89,14,37
Luke Mittelstadt,Minnesota,2,18,20,11,57,14,38
Luke Mobley,Augustana,12,7,19,-5,63,23,34
Luke Mylymok,Niagara,9,7,16,-10,64,20,38
Luke Pavicich,Mass.-Lowell,0,1,1,0,0,0,17
Luke Reid,New Hampshire,1,15,16,5,59,18,36
Luke Robinson,Air Force,2,7,9,6,46,32,38
Luke Rowe,Air Force,6,23,29,-10,98,70,35
Luke Tuch,Boston University,10,20,30,17,95,10,39
Luke Weilandt,Merrimack,3,2,5,-2,18,6,23
Luke van Why,Robert Morris,2,2,4,4,31,8,18
Lynden Breen,Maine,9,21,30,17,109,20,37
Lynden Grandberg,Brown,0,0,0,-4,9,0,18
Mac Gadowsky,Army,4,19,23,-1,60,8,28
Mac Welsher,Merrimack,4,9,13,2,48,18,30
Mack Byers,St. Thomas,13,8,21,9,61,4,31
Mack Oliphant,Holy Cross,2,8,10,2,59,19,38
Mackenzie Merriman,Princeton,0,0,0,-15,18,2,27
Macklin Celebrini,Boston University,32,32,64,25,179,18,38
Maddox Fleming,Notre Dame,3,9,12,-7,40,8,35
Maiszon Balboa,Air Force,0,0,0,0,0,0,4
Marcus Br채nnman,Providence,0,0,0,0,0,2,2
Marcus Joughin,Sacred Heart,8,13,21,-8,47,16,34
Marcus Pedersen,Michigan Tech,5,4,9,-2,34,2,37
Marek Hejduk,Harvard,5,2,7,-19,55,29,32
Marian Mosko,Cornell,0,1,1,3,2,0,11
Mario Gasparini,Vermont,1,0,1,-4,3,4,11
Mark Cheremeta,Sacred Heart,1,10,11,-5,49,6,17
Mark Cooper,Mass.-Lowell,1,3,4,0,25,6,23
Mark Estapa,Michigan,5,4,9,-4,60,46,36
Mark Gallant,Merrimack,2,3,5,-1,35,23,33
Mark Hillier,Merrimack,7,12,19,-7,46,2,35
Marko Reifenberger,Mercyhurst,5,6,11,-10,38,37,33
Marshall Warren,Michigan,4,14,18,0,79,30,41
Marty Lavins,New Hampshire,5,9,14,5,65,28,35
Mason Klee,Ohio State,1,4,5,-5,45,25,38
Mason Kucenski,St. Lawrence,0,0,0,0,0,0,2
Mason Langenbrunner,Harvard,0,5,5,-4,31,8,32
Mason Marcellus,Quinnipiac,14,22,36,34,69,18,39
Mason McCormick,Air Force,6,9,15,-7,84,44,38
Mason Nevers,Minnesota,3,12,15,16,34,12,35
Mason Poolman,St. Thomas,2,6,8,-1,34,16,28
Mason Reiners,St. Cloud State,0,3,3,6,17,4,26
Mason Salquist,St. Cloud State,7,12,19,5,66,27,35
Mason Waite,St. Lawrence,4,16,20,-16,75,14,39
Mason Wheeler,Minnesota State,1,4,5,5,24,18,37
Massimo Lombardi,Vermont,5,7,12,3,47,17,32
Massimo Rizzo,Denver,10,34,44,24,84,10,30
Matej Marinov,Quinnipiac,0,0,0,0,0,0,11
Mateo Dixon,Vermont,2,2,4,1,16,2,18
Mathieu Caron,Boston University,0,0,0,0,0,2,40
Mathieu De St. Phalle,Wisconsin,11,16,27,4,103,8,38
Mathieu Gosselin,Clarkson,11,17,28,3,64,35,31
Matt Allen,Alaska-Anchorage,6,7,13,1,63,4,30
Matt Allen,Stonehill,3,1,4,-24,19,25,22
Matt Basgall,Michigan State,1,15,16,-3,57,2,38
Matt Cassidy,Ohio State,0,0,0,-5,30,24,24
Matt Choupani,Northeastern,3,9,12,-1,53,8,28
Matt Copponi,Merrimack,7,25,32,4,66,48,30
Matt Crasa,Mass.-Lowell,8,5,13,-3,69,16,34
Matt Davis,Denver,0,3,3,0,0,0,31
Matt DeBoer,Holy Cross,4,15,19,-5,82,65,39
Matt DeMelis,Northeastern,2,6,8,-4,20,0,23
Matt DiMarsico,Penn State,7,19,26,-12,90,18,35
Matt Fusco,Dartmouth,3,8,11,-6,46,10,28
Matt Guerra,Holy Cross,8,17,25,-4,92,51,38
Matt Hubbarde,Providence,1,0,1,3,7,2,13
Matt Hutton,Robert Morris,0,0,0,-1,3,2,3
Matt Johnson,Alaska-Anchorage,6,3,9,-1,21,2,14
Matt Kinash,Alaska-Anchorage,2,4,6,4,18,6,18
Matt Koethe,Alaska,3,10,13,6,45,10,31
Matt Miller,Omaha,7,13,20,-16,64,19,37
Matt Pasquale,Connecticut,0,0,0,0,0,0,1
Matt Rickard,American Int'l,2,4,6,-1,27,8,25
Matt Shatsky,Holy Cross,2,19,21,13,47,28,37
Matt Sutton,Brown,3,5,8,-9,34,14,24
Matt Thomson,Bentley,2,2,4,0,26,8,12
Matt Vermaeten,Canisius,7,5,12,0,64,20,30
Matteo Costantini,Western Michigan,11,20,31,20,67,18,38
Matteo Giampa,Canisius,18,17,35,6,101,8,36
Matteo Pecchia,Alaska,0,0,0,-1,1,2,1
Matthew Barbolini,Miami,11,14,25,-4,78,40,31
Matthew Boczar,Robert Morris,1,1,2,-3,7,0,11
Matthew Brille,Brown,0,1,1,-1,6,0,11
Matthew Campbell,Michigan Tech,4,7,11,-6,70,8,30
Matthew Gleason,St. Thomas,5,18,23,2,74,26,37
Matthew Kopperud,Arizona State,23,13,36,-5,123,45,38
Matthew McGroarty,Quinnipiac,1,5,6,7,23,10,22
Matthew Morden,Harvard,1,2,3,-6,33,12,32
Matthew Perkins,Minnesota-Duluth,6,9,15,-12,44,12,35
Matthew Romer,Arizona State,0,1,1,1,7,0,7
Matthew Staudacher,Northeastern,2,2,4,-9,21,8,31
Matthew Syverson,Lindenwood,0,0,0,0,0,0,7
Matthew Thiessen,Minnesota-Duluth,0,1,1,0,0,0,18
Matthew Wilde,RIT,19,16,35,13,129,16,40
Matthew Wood,Connecticut,16,12,28,-1,128,43,35
Mattias Sholl,Bemidji State,0,0,0,0,0,0,24
Matvei Kabanov,Northern Michigan,4,5,9,-3,32,4,26
Max Burkholder,Colorado College,7,9,16,6,67,6,37
Max Dorrington,St. Lawrence,2,5,7,-8,57,29,35
Max Dukovac,Miami,3,7,10,-14,56,10,36
Max Itagaki,Army,6,19,25,-13,57,31,34
Max Koskipirtti,Michigan Tech,4,17,21,4,59,10,33
Max Kouznetsov,Canisius,8,15,23,-1,63,39,36
Max Lacroix,Boston University,0,0,0,0,0,0,1
Max Miller,Harvard,0,0,0,0,0,0,1
Max Montes,Ohio State,9,9,18,-2,71,17,37
Max Osborne,Alaska-Anchorage,0,1,1,1,4,4,11
Max Pineo,Stonehill,3,2,5,-33,24,10,28
Max Rud,Minnesota,0,0,0,-1,3,0,20
Max Ruoho,Niagara,0,1,1,-5,11,2,11
Max Scott,Brown,7,11,18,2,64,12,22
Max Smolinski,Rensselaer,2,11,13,-6,55,50,37
Max Vayrynen,Michigan Tech,0,0,0,0,0,0,4
Max Wattvil,Merrimack,2,1,3,2,26,14,24
Maxim trb찼k,Michigan State,2,7,9,7,37,17,32
Maximilion Helgeson,Alaska-Anchorage,14,13,27,7,97,31,33
McKade Webster,Denver,14,18,32,31,80,54,43
McKay Hayes,Robert Morris,6,8,14,-4,57,35,38
Michael Abgrall,Omaha,0,3,3,2,13,10,12
Michael Bevilacqua,Bowling Green,2,5,7,0,17,2,20
Michael Callow,Harvard,3,12,15,1,45,0,32
Michael Cameron,Massachusetts,6,4,10,-3,39,0,35
Michael Citara,Merrimack,6,9,15,-2,62,6,31
Michael Colella,Northern Michigan,7,5,12,-7,58,6,34
Michael Craig,Robert Morris,0,10,10,-6,41,8,39
Michael Emerson,North Dakota,0,0,0,-1,0,2,6
Michael Feenstra,Miami,0,4,4,0,21,2,18
Michael Fisher,Northeastern,1,1,2,-9,26,14,29
Michael Gildon,Ohio State,5,5,10,3,60,27,34
Michael Hodge,Holy Cross,0,4,4,2,27,18,33
Michael Hrabal,Massachusetts,0,0,0,0,0,0,30
Michael Martignetti,Stonehill,0,0,0,-5,0,4,4
Michael Mastrodomenico,Notre Dame,1,6,7,-4,61,25,33
Michael Mesic,Northern Michigan,4,5,9,-8,41,8,26
Michael Morelli,Michigan Tech,0,0,0,0,0,0,1
Michael Outzen,Northeastern,0,0,0,0,5,2,16
Michael Sacco,Army,6,16,22,-22,81,54,34
Michael Sochan,Robert Morris,0,0,0,0,0,0,2
Michael Suda,Cornell,0,5,5,13,46,10,32
Michael Van Unen,Northern Michigan,1,3,4,-3,21,8,17
Michael Young,Princeton,1,1,2,-1,11,2,7
Mick Frechette,Boston University,0,2,2,2,3,2,7
Mickey Burns,Mercyhurst,5,13,18,-7,80,14,35
Mike Cataldo,Brown,2,1,3,-11,22,8,26
Mike Kennedy,Princeton,2,3,5,-16,39,47,30
Mike Koster,Minnesota,2,12,14,1,50,4,33
Mike Posma,Boston College,2,6,8,10,48,23,41
Mike Vorlicky,Wisconsin,1,4,5,17,31,27,37
Mikey Adamson,Sacred Heart,4,16,20,-8,45,12,34
Mikey Roberts,Dartmouth,0,0,0,0,0,0,1
Miko Matikka,Denver,20,13,33,15,111,41,43
Mitch Allard,Lindenwood,3,4,7,-9,29,39,27
Mitch Andres,Robert Morris,0,4,4,-13,21,35,33
Mitch Deelstra,Northern Michigan,1,2,3,-2,33,8,25
Mitch Lafay,Alaska-Anchorage,0,0,0,0,0,0,1
Mitch Wolfe,Bemidji State,1,12,13,15,45,14,38
Mitchell Becker,Mass.-Lowell,3,3,6,-4,40,12,30
Mitchell Day,Niagara,0,0,0,0,0,0,6
Mitchell Digby,Air Force,2,1,3,-8,23,11,27
Morgan Winters,New Hampshire,10,12,22,3,65,19,33
Nash Nienhuis,Michigan State,9,15,24,20,70,22,38
Nate Benoit,North Dakota,0,1,1,-1,10,4,19
Nate Hanley,Union,4,22,26,-7,99,10,37
Nate Horn,Air Force,3,4,7,-3,46,12,33
Nate Morgan,Dartmouth,1,4,5,-1,14,6,28
Nate Schweitzer,Lake Superior,3,10,13,-3,56,24,38
Nathan Airey,Minnesota,0,0,0,0,0,0,3
Nathan Kelly,Union,1,7,8,0,35,23,35
Nathan McBrayer,Ohio State,0,7,7,1,49,8,34
Nathan Reid,Yale,0,0,0,0,0,0,10
Nathan Sullivan,Rensselaer,0,1,1,-10,11,10,21
Nic Belpedio,Colgate,3,2,5,4,19,2,9
Nic Petruolo,Holy Cross,0,2,2,6,28,39,37
Nicholas Grabko,Bentley,0,0,0,0,0,4,15
Nicholas Kent,Mercyhurst,0,1,1,-6,2,4,16
Nicholas Niemo,Maine,2,2,4,-1,13,4,17
Nicholas Trela,St. Lawrence,2,5,7,-5,26,10,28
Nick Ahern,Vermont,1,5,6,1,30,10,14
Nick Anderson,Colgate,2,19,21,2,59,35,36
Nick Ardanaz,Rensselaer,1,2,3,-9,11,6,18
Nick Bochen,Bentley,6,18,24,15,86,20,35
Nick Cafarelli,New Hampshire,6,5,11,2,35,41,28
Nick Capone,Connecticut,4,4,8,-9,38,46,32
Nick Carabin,Princeton,5,12,17,-2,50,26,27
Nick DeSantis,Cornell,8,6,14,16,46,30,35
Nick Granowicz,Mass.-Lowell,4,4,8,-4,31,10,25
Nick Haas,Colgate,0,0,0,0,0,0,1
Nick Hale,Ferris State,2,6,8,3,50,12,34
Nick Howard,Boston University,0,0,0,0,0,0,1
Nick Marciano,Princeton,2,0,2,-5,16,6,22
Nick Moldenhauer,Michigan,8,13,21,-2,62,2,41
Nick Nardecchia,Ferris State,3,4,7,-16,54,27,34
Nick O'Hanisain,Bowling Green,0,1,1,-1,13,9,20
Nick Poisson,Providence,9,15,24,8,89,16,35
Nick Portz,St. Cloud State,2,2,4,-2,22,14,17
Nick Remissong,Air Force,1,5,6,-3,24,19,34
Nick Rh챕aume,Mass.-Lowell,9,4,13,-12,69,32,34
Nick Ring,New Hampshire,2,8,10,-5,44,6,34
Nick Seitz,Princeton,5,18,23,-3,80,14,30
Nick Strom,Rensselaer,0,7,7,-6,38,10,37
Nick Traggio,Brown,3,1,4,2,21,12,26
Nick VanTassell,Massachusetts,1,1,2,-4,15,19,24
Nick Williams,Michigan Tech,1,4,5,8,23,8,25
Nick Young,Union,2,5,7,-2,43,26,37
Nick Zabaneh,Boston University,8,8,16,11,76,36,40
Nicklas Andrews,Colorado College,3,14,17,4,49,29,37
Nicky Wallace,Quinnipiac,0,0,0,1,1,0,2
Nico DeVita,Ferris State,0,0,0,-16,12,2,19
Nico Somerville,American Int'l,4,5,9,11,46,12,40
Nicolas Muller,Michigan State,7,22,29,10,58,22,38
Nik Armstrong-Kingkade,Bentley,7,5,12,2,58,25,24
Nik Hong,Army,7,10,17,-6,57,14,35
Nikita Borodayenko,Merrimack,0,1,1,-1,8,4,12
Nikita Nikora,Dartmouth,3,17,20,-2,44,2,25
Niklas Allain,Yale,6,6,12,0,38,27,28
Niko Rexine,Colgate,2,2,4,-7,22,4,31
Nikolai Jenson,New Hampshire,4,5,9,7,37,12,35
Nils Wallstr철m,American Int'l,0,0,0,0,0,0,33
Noah Altman,Quinnipiac,0,0,0,0,0,0,3
Noah Beck,Clarkson,3,6,9,-17,36,16,30
Noah Carlin,Niagara,3,9,12,3,42,10,27
Noah Ellis,Omaha,0,3,3,-5,11,6,21
Noah Giesbrecht,Ferris State,0,0,0,0,0,0,18
Noah Grannan,Penn State,0,0,0,0,0,0,11
Noah Hackett,Niagara,2,6,8,-6,41,0,29
Noah Kane,Long Island,8,21,29,-3,96,48,32
Noah Laba,Colorado College,20,17,37,20,88,27,36
Noah Prokop,St. Thomas,3,5,8,-3,33,16,27
Noah Quinn,Bemidji State,1,0,1,-3,10,10,18
Noah Rupprecht,Long Island,0,0,0,0,0,0,8
Noah Serdachny,Colorado College,0,0,0,-2,4,2,5
Noah Wakeford,Brown,0,2,2,-3,14,8,23
Noah West,Michigan,0,0,0,0,0,0,7
Noah de la Durantaye,Princeton,3,15,18,-9,60,6,29
Nolan Cunningham,Air Force,0,5,5,-2,27,2,26
Nolan FitzPatrick,Stonehill,1,1,2,-7,5,15,18
